Complexity_level,text
L-EF,I do not think so because Ive touch a tree that has fungus on it it did not come on to me
L-EF,fungus etch dead thing not grow on them
L-EF,fungi and fungus is piratically the same thing   because fungi etch what eve its on sow does fungus but mi us geeing
L-EF,I think so to I ha seen mold on blue sees
L-EF,is that fungus mushrooms give trees minerals and the tree gives the fungi mushrooms sugar
L-F, I think that it takes a week or more for fungi to spread I think that fungi spreads to eat and to get energy
L-F, I think that fungus is basically mold because they look the same  there both the same ripe
L-F,I think fungus is a related to mold  like there in the same family there in a family
L-F, I disagree fungi is related to mold they look the same and there in the same family
L-F,how does fungi help the planet I think it helps the trees grow
L-EF,there are two parts of a shadow a umbra dark part which is in the middle and penumbra light part is on the outside part
L-EF,Your eyes cant fully adjust to the dark but they can a bit my eyes have never fully adjusted to the dark but I have had light near and it was dark because I was near a lot of light then it suddenly changes my body wont react too fast but it can wait a few seconds and it will think I have Benn there long enough but with no light I don't think your eyes can adjust to a perfectly dark room
L-EF,Lasers are a very very strong source of light they are so hot that they can cut through metal bars with ease diamond sellers cut Simmonds which is one of the hardest substances on earth
L-EF,Transparent means full SE through so nontransparent means opaque non SEe through
L-EF,Aura Borealis commonly none as the northern lights are a form of colored light is usual found in the north pole but it can go south like to France or Italy The natives feared them because they thought they were evil things
L-EF,Photoluminescence is when an animal makes it one light FACT over 70 of the worlds deep sea fish are photoluminescence fireflies are also photoluminescence
L-EF,photoluminescence is when creatures in small dark places can make them selfs viable for example fire flies have photoluminescence and their is this kind of fish that has a little light on its head
L-EF,those are the colors of your eye cones What I mean by your eye cones is you have eye cones is that you have cones in your eyes that are shaped like ice cream cones by mixing them you get the Secondary colors
L-EF,The Secondary colors of light are made by mixing the Primary colors of light here are the Secondary colors of light  Yellow Magenta and Cyan here is how their made
L-EF,the Northern lights are branches of colored light in the sky you can only see them in the north pole but some times you can see them in muskox in the winter
L-EF,A transparent object is something you can see though like Stephanie light can go right though it
L-EF,A translucent object is some thing that you can kind of see though like paper paper is sort of dark sort of light
L-EF,When you have two light sources facing on one thing and there turned on you see two shadows And the same thing happens when you have three light sources are there but three shadows appear
L-EF,If you add light to a prism it should change the white light into the colors of the rainbow Red Orange Yellow Green Blue Violet and Indigo
L-EF,My understanding of natural and artificial light is that living things make there own light like fireflies squids bacteria and fungi 70 present of the worlds deep sea fish make their own light
L-EF,Lasers can burn through the hardest substance like diamonds the hardest things on earth Laser can burn thousands of holes in 1 day
L-EF,The law of reflection is that if you shine light at a 90 degree angle it will be reflected as a 90 degree angle the light ray that egos to the flat mirror is called the incident ray and the ray that bounces off is called reflected ray
L-EF,its used in things like flashlights if we didn't use concave mirrors in flashlights it would be like a candle
L-EF,Convex lens with light rays will concentrate light making a focus point that is the most concentrated and after that it starts to get less concentrated
L-EF,I also learned that light can not go through an opaque object because it isn't transparent
L-EF,Another one of the things I learned was that in ancient times people used sundials to tell the time They could tell that the higher the sun was in the sky the shorter the shadow
L-EF,When light hits a double convex lens it travels together and hits and the light is concentrated at the focal point 
L-EF,Lasers are very bright and they can burn through anything in the world It can burn through steel and chrome and cloth and iron and metal and everything 
L-EF,When white light goes through a prism it will make a rainbow All the colors that come out of the prism will be rainbow colors
L-EF,Chemiluminescence turns chemical energy into light I used to have glowing stars and a moon on the top of my closet so that is an example of chemiluminescence 
L-EF,Making a rainbow with rain is when its raining lightly and the sun is out An example is when you turn on a sprinkler and the sun is shining 
L-EF,when light hits a flat mirror the angle of incidence equals the angle of reflection When an incident ray hits a 40 degree angle it will come out a 40 degree angle 
L-EF,A translucent object is not see through That means that you cant look through it But a little light can come through A translucent object can be a pace of paper and an mica computer 
L-EF,A concave mirror has a sort of cave shape We have mirrors that are flat the mirror that I am talking about is that mirror but pushed in This mirror looks like a bowl When you look into it you see a long shape of yourself 
L-EF,a convex mirror is the very opposite This mirror is pushed out This mirror looks like a belly As we gr 4 call it a belly mirror when you look into one of these mirrors you see yourself up side down 
L-EF,concave lens heal near sided people see far sided The light rays goad through the eyes and connect at the back of the head 
L-EF,lasers are very bright and very strong They can go through anything If you put a red balloon inside a a white balloon and shine a laxer on it the balloon will pop 
L-EF,a shadow wilel appear when you are facing north Your shadow wilel be in front of you If you are facing south your shadow wilel be behind you And if you are facing east your shadow wile be on your right and if you are facing west your shadow is on your left 
L-EF,To make white light is to shine blue light red light and green light Shine all of the colors in the same spot Then you will see white light Here is a picture to make it more simple 
L-EF,Light can be diffused when light is shone and hits a bumpy mirror and reflects and the light spreads out like a concave lens  whits is called diffused reflection 
L-EF,To make a rainbow withs prism is simple  Just get a prism and go outside Then hold the prism in the air and you'll see a rainbow But sometimes you can not see all the colors
L-EF,Co lours of light You can make white light by mixing red green and blue  primary colors of light light together 
L-EF,The secondary colors of paint are orange  green and violet and they are the colors that the primary colors make when they mix each other 
L-EF,There are three rinds of eye cones in your eyes They are red green and blue They are sensitive to objects that are either yellow red green blue cyan or magenta 
L-EF,The gilt rays from a convex lens go inwards into a point That point is the meeting place of the light 
L-EF,Your eyes can adjust to darkness after a few minutes in pitch blackness In a movie theater the movie has light on the screen but it isn't very bright But at least you can see the outlines of the people that you are sitting between 
L-EF,The angle incidents equals the angle of reflection 
L-EF,A defuse reflection happens when light hits a bumpy mirror 
L-EF,When two different colored lights hit an nontransparent object it makes two different colored shadows one that is on one side of the nontransparent object and one that is one the other lets say that the two different colored lights where red and green and you shined those lights on each side of an nontransparent objects ball One shadow will be green and the other will be red but on either side of the nontransparent object 
L-EF,There are many theories about light there is the straight line theory that is when light travels in straight lines only There is also a theory that is called ripple waves that is when you tutu still water and it makes ripple waves the man that discoverer ripple waves was Christian Huygens The other theory is the combo theory that is when the waves are in the straight lines And there is the cancel out theory and that is where the straight lines cancel the waves 
L-EF,You have three eye cones in your eyes one is red and one is green and one is blue They are all sensitive to there own colors 
L-EF,The next view is the Co lours of Light view with rainbows A rainbow is created when white light hits though a prism and makes a rainbow You can also diffuse a rainbow by letting the light make a rainbow and put another prism beside and it and it creates white light again
L-EF,when light hit a concave mirror the light rays go everywhere but when light rays hit a convex mirror they act normally 
L-EF,You have three eye cones a blue cone a red cone and a green cone The red cone is sensitive to red light the green cone is sensitive to the green light and the blue cone is sensitive to blue light 
L-EF,We have 3 different eye cones The 3 eye cones are 3 different colors those colors are red green and blue 
L-EF,A concave mirror looks like a bowl When light hits a concave mirror it bounces of like in the picture below 
