Complexity_level,text
L-RF,httpswonderopolisorgwondersqtrees
L-RF,httpsdocsgooglecompresentationd1dJw8nNhEDyrYR31IRKGoLm96RAIapvWFUB23r71KKgkeditslideidp Linkhttpsdocsgooglecompresentationd1dJw8nNhEDyrYR31IRKGoLm96RAIapvWFUB23r71KKgkeditslideidp  Heres A Link To A Presentation On What Ants Eat And Drink
L-RF,wacht thishttpswwwyoutubecomwatchvJ0DTTe0xZ4
L-RF,httpswwwworldbookonlinecomwbdiscovermediaidlr000368 Linkhttpswwwworldbookonlinecomwbdiscovermediaidlr000368 Click on the link above
L-RF,httpsflipgridcom006ff9a8 Linkhttpsflipgridcom006ff9a8
L-RF,heres a link to a really good videohttpswwwteachertubecomvideophotosynthesis62625utmsourcegoogle Linkhttpswwwteachertubecomvideophotosynthesis62625utmsourcegoogle
L-RF,httpswwwsitesextvteduvirtualforestmodulesphotohtml Linkhttpswwwsitesextvteduvirtualforestmodulesphotohtml do a 2 finger click or left click on a mouse and click open new link tap at the top
L-RF,httpsedtedcomlessonsmeetthetardigradethetoughestanimalonearththomasboothby Linkhttpsedtedcomlessonsmeetthetardigradethetoughestanimalonearththomasboothby
L-RF,heres a photo and video on photosynthesis do a 2 finger click on the link to open videoImage  httpskf6ritalbanyeduattachments5b87586745b8a02554df72de5c09382bc0c1561fdba71bfe1Screenshot 20181119 at 101912 AMpng httpswwwteachertubecomvideophotosynthesis62625utmsourcegoogle Linkhttpswwwteachertubecomvideophotosynthesis62625utmsourcegoogle
L-RF,httpswwwsitesextvteduvirtualforestmodulesphotohtml Linkhttpswwwsitesextvteduvirtualforestmodulesphotohtml heres a new link same thing on how to open it do a 2 finger click and hit open ink to new tab
L-RF,httpsdocsgooglecomdocumentd1IcEydVHmqdr1HzyAroqUOjicQylk78r3AvJhyJ1itAedituspsharing Linkhttpsdocsgooglecomdocumentd1IcEydVHmqdr1HzyAroqUOjicQylk78r3AvJhyJ1itAedituspsharing
L-RF,httpsdocsgooglecompresentationd1B4gT2nTsuFh58v3kh0hG0RUythibzNet7lygXls3UMedituspsharing Linkhttpsdocsgooglecompresentationd1B4gT2nTsuFh58v3kh0hG0RUythibzNet7lygXls3UMedituspsharing
